manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS8MA,BOOM UP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS4MA,BUCKET CURL PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:50:56+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS4MA,BUCKET CURL PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS3MA,ARM IN PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:55:31+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS3MA,ARM IN PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHPBMA,REAR PUMP OIL PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:50:54+07:00,180547.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHPAMA,FRONT PUMP OIL PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:50:54+07:00,180547.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12504,2019-01-10T01:21:30+07:00,-0.837999,131.247233,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T13:44:24+07:00,342038.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12504,2019-01-10T01:21:30+07:00,-0.837999,131.247233,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T13:44:27+07:00,342038.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DXE5KA,MERGE-DIVIDER MAIN EPC SOLENOID VLV + OPEN CIRCUIT,2019-01-09T07:27:01+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DXA8KA,PC-EPC(F) SOLENOIDE VALVE + OPEN CIRCUIT,2019-01-09T07:01:44+07:00,5999993.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DR21KX,F-O-V AUX CAMERA2 IMAGE REVERSE I/P + INPUT SIGNAL OUT OF SCOPE,2019-01-09T07:01:41+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DHPBMA,REAR PUMP OIL PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:37:05+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DHPAMA,FRONT PUMP OIL PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:36:16+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,DAFSMC,MONITOR CNTRLR SERIAL COMMUNICATION + MALFUNCTION,2019-01-09T07:05:41+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12499,2019-01-10T01:10:00+07:00,-0.984699,102.754066,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T07:01:47+07:00,5999993.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12490,2019-01-10T01:33:30+07:00,0.531033,116.124199,DR21KX,F-O-V AUX CAMERA2 IMAGE REVERSE I/P + INPUT SIGNAL OUT OF SCOPE,2019-01-09T07:20:47+07:00,942289.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12490,2019-01-10T01:33:30+07:00,0.531033,116.124199,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T07:20:53+07:00,942289.0,Yes,1.0,L01,Electrical,0.0
